Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
FIVN11;Shoppings;2.30;2386;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;65746443.59;6.98;0.33;;;;;56.00;;1
BZLI11;Títulos e Val Mob;14.70;44041;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.68;0.68;1.14;432904709.37;10.82;1.36;;;;;;;0
XTED11;Lajes Corporativas;6.20;497;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10;1.10;-37.83;27391929.40;13.94;0.44;;;;;0.00;100.00;1
ALMI11;Lajes Corporativas;940.00;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.27;2.27;-28.29;250487663.18;2253.05;0.42;;;;;64.05;;1
PABY11;Híbrido;8.07;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-19.84;-19.84;-31.62;-992234.96;-11.99;-0.67;;;;;;;1
ORPD11;Títulos e Val Mob;128.00;1;1.38;;;;;;;;;;;;44135940.94;152.19;0.84;;;;;;;0
FISC11;Lajes Corporativas;165.00;200;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;257842245.51;151.67;1.09;;;;;;;0
ARRI11;Títulos e Val Mob;97.50;4301;1.34;1.35;3.95;8.75;15.31;1.32;1.46;1.28;3.95;-1.17;0.16;2.67;96611486.40;92.16;1.06;1.41;-0.32;1.09;2.52;;;0
VINO11;Lajes Corporativas;49.85;125119;0.34;0.71;2.09;4.86;9.91;0.70;0.81;0.83;2.09;0.89;1.61;-5.88;913114249.27;55.12;0.90;0.62;-0.52;0.09;0.70;4.20;;9
RBFF11;Títulos e Val Mob;51.15;7643;0.47;0.92;2.71;5.28;9.75;0.90;0.88;0.81;2.71;1.53;2.47;-5.48;240788827.03;64.22;0.80;0.73;-1.68;-0.96;-0.25;;;0
VIFI11;Títulos e Val Mob;70.50;2316;0.66;0.93;2.59;5.15;9.60;0.86;0.86;0.80;2.59;-11.76;-10.94;-6.48;246942464.94;87.81;0.80;0.75;-2.43;-1.70;-0.98;;;0
VIUR11;Títulos e Val Mob;73.85;3825;0.70;0.97;2.84;5.48;0.00;0.95;0.91;0.00;2.84;-2.10;-1.15;-2.16;259739532.45;96.39;0.77;0.73;-0.22;0.51;1.24;0.00;;6
BBFI11B;Lajes Corporativas;240.00;123;32.05;1.59;3.71;7.84;14.17;1.24;1.31;1.18;3.71;-5.82;-4.33;-8.49;37028307.23;2848.33;0.72;0.84;0.00;0.84;0.84;39.11;;2
KISU11;Títulos e Val Mob;7.67;144337;0.07;0.85;2.50;4.96;8.68;0.83;0.83;0.72;2.50;0.13;0.98;-3.65;395865957.96;8.96;0.86;0.73;-4.07;-3.38;-3.38;;;0
BICR11;Títulos e Val Mob;98.80;1;0.68;0.70;1.99;3.81;6.19;0.66;0.64;0.52;1.99;18.07;18.90;4.70;49602740.27;99.21;1.00;0.65;-0.30;0.34;0.83;;;0
ITIP11;Títulos e Val Mob;81.95;845;0.92;1.13;3.53;6.93;12.41;1.18;1.15;1.03;3.53;-1.13;-0.01;3.66;65564829.02;87.64;0.94;1.08;-1.42;-0.35;0.78;;;0
AIEC11;Lajes Corporativas;81.23;6479;1.31;1.57;3.23;5.77;9.95;1.08;0.96;0.83;3.23;8.13;9.83;9.96;491831341.80;101.93;0.80;0.67;0.03;0.69;1.30;0.00;;2
YUFI11B;Residencial;;;0.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;41354358.01;104.65;;0.80;0.20;1.00;1.52;;;0
CXCO11;Lajes Corporativas;79.00;4162;0.65;0.84;2.51;4.95;0.00;0.84;0.82;0.00;2.51;1.84;2.70;-2.19;37777381.92;96.08;0.82;0.68;-0.09;0.59;1.28;;;0
TGAR11;Outros;119.19;116629;1.27;1.12;3.15;6.19;11.30;1.05;1.03;0.94;3.15;1.61;2.74;-4.30;148380875.79;131.14;0.91;0.93;-0.41;0.52;1.41;;;0
SDIL11;Logística;92.55;10960;0.76;0.83;2.56;5.18;9.18;0.85;0.86;0.76;2.56;1.26;2.10;8.07;623706754.09;97.53;0.95;0.78;0.03;0.81;1.60;2.60;;5
PLOG11;Logística;70.71;2978;0.78;1.10;3.22;6.09;10.81;1.07;1.01;0.90;3.22;-1.44;-0.36;-2.23;7516948.30;100.23;0.71;0.78;-0.05;0.73;1.51;20.40;;1
JFLL11;Residencial;75.58;3580;0.62;0.84;2.45;5.03;9.27;0.82;0.84;0.77;2.45;-1.50;-0.68;-3.59;150282517.11;100.15;0.75;0.62;0.03;0.65;1.27;28.00;;2
RZTR11;Híbrido;102.00;41473;1.25;1.22;3.66;7.16;11.90;1.22;1.19;0.99;3.66;0.69;1.92;1.90;19679994.79;99.21;1.03;1.26;-0.84;0.41;1.67;;;10
NVHO11;Hospital;11.90;143;0.08;0.64;1.51;3.48;6.66;0.50;0.58;0.56;1.51;3.37;4.04;1.94;52793490.84;12.70;0.94;0.61;0.04;0.64;0.84;;;1
NEWL11;Híbrido;98.00;1381;0.80;0.79;2.36;5.29;10.22;0.79;0.88;0.85;2.36;0.64;1.43;1.96;235919786.47;116.04;0.84;0.69;0.22;0.91;1.61;0.00;;2
RBED11;Outros;124.69;609;1.12;0.91;2.76;5.27;9.66;0.92;0.88;0.80;2.76;0.98;1.89;5.52;286192341.31;141.57;0.88;0.79;0.04;0.83;1.63;0.00;;5
SHPH11;Shoppings;828.99;44;3.54;0.43;1.53;2.92;4.66;0.51;0.49;0.39;1.53;2.48;2.92;4.54;540581783.78;887.73;0.93;0.47;-0.07;0.39;0.94;10.80;;1
NSLU11;Hospital;149.97;4038;1.54;0.76;2.26;4.94;9.49;0.75;0.82;0.79;0.76;0.00;0.76;0.76;22250547.87;194.36;0.77;0.70;0.00;0.70;0.70;0.00;;1
ATSA11;Shoppings;92.88;3;0.25;0.18;0.59;1.30;2.97;0.20;0.22;0.25;0.37;0.74;0.92;1.10;155689321.16;88.91;1.04;;;;;21.90;;1
CXTL11;Logística;290.89;18;0.48;0.16;0.67;1.29;0.00;0.22;0.22;0.00;0.42;-6.12;-5.97;-5.73;3747298.50;691.22;0.42;0.11;0.00;0.11;0.11;61.00;;3
PQDP11;Shoppings;289.00;8;14.29;0.71;1.99;4.20;6.23;0.66;0.70;0.52;1.58;-1.17;-0.46;0.40;800978410.08;3358.72;0.62;0.52;0.00;0.52;0.52;3.60;;1
QAGR11;Outros;48.60;10423;0.39;0.79;2.32;4.63;9.02;0.77;0.77;0.75;1.55;-2.59;-1.82;-1.07;300920810.23;59.71;0.81;0.64;-0.06;0.59;1.23;;;12
